Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
Battle Rope Feet Elevated Russian Twist,Intermediate,Abdominals,Battle Ropes,Midsection,Unsorted*,https://youtu.be/XdKaa2lHuic
Superband Dead Bug,Novice,Abdominals,Superband,Midsection,Unsorted*,https://youtu.be/wCwn7-Z-XjE
Parallette V Sit,Expert,Abdominals,Parallette Bars,Midsection,Unsorted*,https://youtu.be/oBmFzeay6Z8?si=dliVO8cgoAWNKwT3
Single Arm Dumbbell Pendlay Row,Novice,Back,Dumbbell,Upper Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Decline Bench Press,Novice,Chest,Kettlebell,Upper Body,Bodybuilding,
Double Kettlebell Split Jerk,Intermediate,Shoulders,Kettlebell,Full Body,Unsorted*,https://youtu.be/6sbNXcg-R0Y
Double Kettlebell High Pull,Intermediate,Shoulders,Kettlebell,Full Body,Ballistics,https://youtu.be/dE9tcZabirE
Superband Standing Pallof Press,Beginner,Abdominals,Superband,Midsection,Unsorted*,https://youtu.be/TvPRtxN8uoA
Superband Half Kneeling Pallof Press,Novice,Abdominals,Superband,Midsection,Unsorted*,https://youtu.be/V-SoYj9uQV8
Superband Single Leg Standing Bent Knee Hip External Rotation,Novice,Glutes,Superband,Lower Body,Unsorted*,
Macebell Reverse Grip Offset Bicep Curl,Novice,Forearms,Macebell,Upper Body,Bodybuilding,
Ring Archer Row,Novice,Shoulders,Gymnastic Rings,Upper Body,Unsorted*,https://youtu.be/s1Cuq185q6Y?si=TNXwSjV_mkE_2ty0
Single Arm Landmine Row to Rotational Shoulder Press,Intermediate,Shoulders,Landmine,Full Body,Bodybuilding,https://youtu.be/f-sh_ImlQUo
Bodyweight Hand Assisted Skater Squat,Novice,Quadriceps,Bodyweight,Lower Body,Calisthenics,https://youtu.be/DExb7UaAlbg
Superband Pull Through,Beginner,Glutes,Superband,Lower Body,Bodybuilding,https://youtu.be/ZuKowDpVVXM
Miniband Quadruped Hip Extension,Beginner,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/k30hN0vhlsY?si=ycYwNbMrFEnA94pG
Cable Hip Adduction,Novice,Adductors,Cable,Lower Body,Unsorted*,https://youtu.be/UyXncDziNGo?si=W4GuZaUvoWtiIOxj
Superband Tall Kneeling Pallof Press,Novice,Abdominals,Superband,Midsection,Unsorted*,https://youtu.be/yUzjX1LdySo?si=2LpxjTl8N8OHsKqd
Slider Eccentric Hamstring Curl,Beginner,Hamstrings,Sliders,Lower Body,Unsorted*,https://youtu.be/vcCVej7p_vc
Landmine Low Hold Lateral Lunge,Novice,Quadriceps,Landmine,Lower Body,Unsorted*,https://youtu.be/VTtLrBvHoJ8
Double Kettlebell Sumo Deadlift,Beginner,Back,Kettlebell,Full Body,Bodybuilding,https://youtu.be/4m288BpgfcQ
Slider Kneeling Reach Push Up,Novice,Chest,Sliders,Upper Body,Unsorted*,https://youtu.be/-RTSF7qbrhs?si=hznPEKw9aLONjGpz
Slider Parallette Knee Tuck,Novice,Abdominals,Sliders,Midsection,Unsorted*,
Superband Shoulder Dislocates,Novice,Shoulders,Superband,Upper Body,Mobility,https://youtu.be/MPtMYQH9vvg?si=eEJrNr3oqGzcma8_
Superband Alternating Shoulder Dislocates,Novice,Shoulders,Superband,Upper Body,Mobility,https://youtu.be/AJmPEWu4FiM?si=0h2x72A-kGfK3a_0
Superband Prone Shoulder Dislocates,Novice,Shoulders,Superband,Upper Body,Mobility,https://youtu.be/3WOAWkEKZGA?si=lSddj94elx-N7ZKJ
Ring L Sit,Advanced,Abdominals,Gymnastic Rings,Midsection,Calisthenics,https://youtu.be/lwcHmXvw-T4
Resistance Band Prone Shoulder Dislocates,Novice,Shoulders,Resistance Band,Upper Body,Mobility,https://youtu.be/YwELfevh5vs?si=tmPYSbe-vfbiD0vx
Resistance Band Alternating Shoulder Dislocates,Novice,Shoulders,Resistance Band,Upper Body,Mobility,
Cable Straight Bar Spider Curl,Novice,Biceps,Cable,Upper Body,Bodybuilding,https://youtu.be/zGyaLrwHJjs?si=sg4m9llWui7pmOT_
Double Kettlebell Bottoms Up Front Rack Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/IvN-CSDnvoc
Barbell Back Rack Cyclist Squat,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/TT7Ra3TnlZY
Gravity Boots Inverted Crunch,Advanced,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/AN4MBtCsJqo
Double Kettlebell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/G7e7EenICzQ
Double Kettlebell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Barbell Back Rack Step Up,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/uQGRzdjxHes
Barbell Front Rack Step Up,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/YR_7r6EzJdA
Barbell Standing Rollout,Advanced,Abdominals,Barbell,Midsection,Unsorted*,https://youtu.be/_lI_GB0DI3o
Stability Ball Cable Russian Twist,Novice,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/4ESBjh2BcdE
Miniband Frog Pump,Beginner,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/rzjQ8XpXt1Q
Miniband Knee Hover Quadruped Fire Hydrant,Advanced,Glutes,Miniband,Lower Body,Bodybuilding,
Bodyweight Fire Hydrant,Beginner,Glutes,Bodyweight,Lower Body,Unsorted*,https://youtu.be/IFrN8GELc-k?feature=shared
Bodyweight Knee Hover Quadruped Fire Hydrant,Intermediate,Glutes,Bodyweight,Lower Body,Unsorted*,https://youtu.be/8nmBvZ1DkKQ?si=RUcdU_JPDGU_yIWv
Dumbbell Crush Grip Spider Curl,Novice,Biceps,Dumbbell,Upper Body,Bodybuilding,
Alternating Double Dumbbell Spider Curl,Novice,Biceps,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/KznrM_RhXDc?si=Qxgmd-eTnFuZ5rpo
Bodyweight Bent Knee Copenhagen Plank Side Raise,Intermediate,Adductors,Bodyweight,Lower Body,Unsorted*,https://youtu.be/xkcOhvzzta0
Bodyweight Kneeling Side Plank,Beginner,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/PAHxwhBVsYY?si=pym-tzPNwmH8zNeP
Bodyweight Wall Assisted Hip Airplane,Intermediate,Glutes,Bodyweight,Lower Body,Unsorted*,https://youtu.be/20R2FqNUBsA?si=3Nuvhsgux27gQFjW
Superband Single Leg Tibialis Raise,Beginner,Shins,Superband,Lower Body,Unsorted*,https://youtu.be/fAf6Z7wu7fM?si=6K5_014ZCoGfknf8
Barbell Zercher Squat,Advanced,Quadriceps,Barbell,Lower Body,Unsorted*,https://youtu.be/nwx6Ip7hd3I
Barbell Squat Snatch,Expert,Quadriceps,Barbell,Full Body,Olympic Weightlifting ,https://youtu.be/9xQp2sldyts
Alternating Double Kettlebell Spider Curl,Novice,Biceps,Kettlebell,Upper Body,Bodybuilding,
Barbell Squat Clean to Split Jerk,Expert,Shoulders,Barbell,Full Body,Olympic Weightlifting ,https://youtu.be/PjY1rH4_MOA
Slider Kneeling Alternating Reach Push Up,Novice,Chest,Sliders,Upper Body,Unsorted*,https://youtu.be/1UD0dTGE04w?si=q2odI18mbdJTtPDF
Barbell Hang Squat Clean to Thruster,Advanced,Shoulders,Barbell,Full Body,Unsorted*,https://youtu.be/8DApihgXzGk
Barbell Squat Clean Thruster,Advanced,Shoulders,Barbell,Full Body,Unsorted*,https://youtu.be/4qZWqKDAhkQ
Bodyweight Copenhagen Plank,Novice,Adductors,Bodyweight,Lower Body,Unsorted*,https://youtu.be/tKb76R21AfM?si=zsuYyzMMfjZleCpc
Bodyweight Bent Knee Copenhagen Plank,Novice,Adductors,Bodyweight,Lower Body,Unsorted*,https://youtu.be/obtdLUWZi-Y
Single Arm Clubbell Inside Pullover,Novice,Back,Clubbell,Upper Body,Unsorted*,
Miniband Single Leg Hip Thrust,Novice,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/tPWyj85zsmg
Barbell Deficit Snatch Grip Deadlift,Intermediate,Back,Barbell,Full Body,Bodybuilding,https://youtu.be/s_Cx_ElOuQs
Single Arm Clubbell Outside Pullover,Novice,Back,Clubbell,Upper Body,Unsorted*,
Bodyweight Hand Assisted Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/hTBEkHf8GmA
Bodyweight Foot Elevated Knee Over Toe Split Squat,Beginner,Quadriceps,Bodyweight,Lower Body,Bodybuilding,https://youtu.be/Gu4qA5TevLU
Double Kettlebell Thruster,Novice,Quadriceps,Kettlebell,Full Body,Bodybuilding,https://youtu.be/5-mxMxigTfw
Double Kettlebell Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Full Body,Bodybuilding,https://youtu.be/DbKGRbkQ80E
Double Kettlebell Alternating Cossack Squat Thruster,Intermediate,Shoulders,Kettlebell,Full Body,Bodybuilding,
Single Arm Landmine Shrug,Novice,Trapezius,Landmine,Upper Body,Bodybuilding,https://youtu.be/I_qhTOdNkHo?si=7wY3icLNd-TkFk5i
Double Kettlebell Front Rack Walking Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/Xmfx1eZMKmY
Double Kettlebell Overhead Walking Lunge,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/hcQJcKxc240
Plate Seated Steering Wheel,Novice,Shoulders,Weight Plate,Upper Body,Unsorted*,
Parallette L Sit to Handstand,Expert,Shoulders,Parallette Bars,Unsorted*,Calisthenics,
Ring Straddle L Sit,Expert,Abdominals,Gymnastic Rings,Unsorted*,Calisthenics,https://youtu.be/pjk0vGe9YRU
Double Kettlebell Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/VWnVBfRkLXE?si=AeN6Q9aAnShqxuIb
Double Kettlebell Half Kneeling Seesaw Overhead Press,Novice,Shoulders,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/UiY-JIpmt24?si=ox4YNd9xIIVapyeB
Double Kettlebell Bottoms Up Seesaw Bench Press,Novice,Chest,Kettlebell,Upper Body,Bodybuilding,
Double Kettlebell Bottoms Up Seesaw Incline Bench Press,Novice,Chest,Kettlebell,Upper Body,Bodybuilding,
Double Kettlebell Bottoms Up Seesaw Decline Bench Press,Novice,Chest,Kettlebell,Upper Body,Bodybuilding,
Double Kettlebell Bottoms Up Seesaw Floor Press,Novice,Chest,Kettlebell,Upper Body,Bodybuilding,
Double Dumbbell Tall Kneeling Seesaw Overhead Press,Novice,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/Lk0xszw7Tf8?si=GHtFcn5OVifRVyDQ
Double Dumbbell Half Kneeling Seesaw Overhead Press,Novice,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/NP4p_SWAgnA?si=VoTKPhBbaaWrrYZH
Double Dumbbell Seesaw Z Press,Novice,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/L_Y8osw78lA?si=3eK1QuOTlQjCzAxO
Stability Ball Sit Up,Beginner,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/7L90imlW0es?si=gY7k7XVC43IRrv-N
EZ Bar Wide Grip Strict Bicep Curl,Novice,Biceps,EZ Bar,Upper Body,Bodybuilding,https://youtu.be/j83lzC2E4Ss?si=PcoF092JVJRpg8T4
Double Kettlebell Squat Clean,Intermediate,Quadriceps,Kettlebell,Full Body,Ballistics,https://youtu.be/6wyxpVY8PQ0
Double Kettlebell Hollow Body Hold,Intermediate,Abdominals,Kettlebell,Midsection,Unsorted*,https://youtu.be/do1yf3NMXdg
Alternating Double Dumbbell Incline Bench Prone Row,Novice,Back,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/xkCR2CkkL1g?si=Qy0YPAcCasZF6kNk
Bodyweight Side Lying Hip Adduction,Beginner,Adductors,Bodyweight,Lower Body,Unsorted*,https://youtu.be/UW52u8OaWhw?si=WdEOpAR_PSB9x9bR
Superband Hollow Body Hold,Intermediate,Abdominals,Superband,Midsection,Unsorted*,https://youtu.be/8QRsSJ-Ny8M
Parallette Freestanding Handstand Push Up,Master,Shoulders,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/3FYYo6lP-dw
Slider Single Leg Eccentric Hamstring Curl ,Intermediate,Hamstrings,Sliders,Lower Body,Unsorted*,https://youtu.be/yAOulKW0al4
Bodyweight Freestanding Handstand Push Up,Master,Shoulders,Bodyweight,Upper Body,Calisthenics,https://youtu.be/aAErmRDDJKY
Single Arm Ring Grip Push Up,Master,Chest,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/CXVqHGLmb3Q
Superband Side Plank Hanging Adduction,Intermediate,Adductors,Superband,Lower Body,Unsorted*,https://youtu.be/JG0Ay2QDVbI
Ring Strap Bulgarian Handstand Push Up,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/ZNCupJIYP6M
Ring Freestanding Handstand Push Up,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,
Stability Ball Feet Elevated Frog Pump,Novice,Glutes,Stability Ball,Lower Body,Unsorted*,https://youtu.be/Rc5e-DsD--M
Stability Ball Miniband Feet Elevated Frog Pump,Novice,Glutes,Stability Ball,Lower Body,Bodybuilding,
Double Kettlebell Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Kettlebell,Midsection,Unsorted*,https://youtu.be/HOQeoz3zQeo
Barbell Overhead Cyclist Squat,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,
Barbell Front Rack Cyclist Squat,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/IU_0IBe4G9w
Double Kettlebell Dead Clean to Push Press,Intermediate,Shoulders,Kettlebell,Full Body,Ballistics,https://youtu.be/NAZ9uF9S_wk
Bodyweight Bent Arm Press Handstand,Master,Shoulders,Bodyweight,Upper Body,Calisthenics,https://youtu.be/Gzz3ku70W3I
Barbell Cyclist Thruster,Intermediate,Quadriceps,Barbell,Full Body,Bodybuilding,
Parallette L Sit to Bent Arm Press Handstand,Master,Shoulders,Parallette Bars,Upper Body,Calisthenics,
Alternating Single Arm Landmine Thruster,Intermediate,Quadriceps,Landmine,Full Body,Bodybuilding,
Single Arm Dumbbell Cyclist Thruster,Novice,Quadriceps,Dumbbell,Full Body,Bodybuilding,https://youtu.be/2Tt0XZ2pZyE
Alternating Single Arm Landmine Cyclist Thruster,Intermediate,Quadriceps,Landmine,Full Body,Bodybuilding,
Barbell Low Bar Cyclist Squat,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,
Double Kettlebell Front Rack Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/ExJCssj4YV0
Double Kettlebell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/Q3yDIeMfdNg
Double Kettlebell Overhead Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/2Pk8jmse6vY
Bodyweight Chest Roll to Straight Body Press Handstand,Master,Shoulders,Bodyweight,Upper Body,Calisthenics,https://youtu.be/mYQAYnr2hlg?si=gqlNGvKWytXXQP1H
Single Arm Kettlebell Overhead Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Full Body,Ballistics,https://youtu.be/ppBgsm8s-IU
Ring Bent Arm Bent Body Press Handstand,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/TxkC9nrvOho
Single Arm Kettlebell Sumo Deadlift,Novice,Back,Kettlebell,Full Body,Bodybuilding,https://youtu.be/1XyV5eNL1z0
Single Arm Kettlebell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Ring Dip to Handstand,Master,Triceps,Gymnastic Rings,Upper Body,Calisthenics,
Ring Handstand to Elbow Lever to Handstand,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,
Ring Dip Straight Body Press to Handstand,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,
Single Arm Kettlebell Contralateral Split Squat Thruster,Intermediate,Quadriceps,Kettlebell,Full Body,Bodybuilding,https://youtu.be/DK6xdHLtDvk
Double Kettlebell Split Squat Thruster,Intermediate,Quadriceps,Kettlebell,Full Body,Bodybuilding,
Kettlebell Swing,Novice,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/1cVT3ee9mgU
Alternating Single Arm Kettlebell Swing,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/Lwzk5mxbN7Y
Alternating Single Arm Kettlebell Clean,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/dPN2mj5R2S8
Alternating Single Arm Kettlebell Snatch,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/0aq5EW0euvA
Ring Straight Arm L Sit Straddle Press Handstand,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,
Single Arm Kettlebell Bottoms Up Overhead Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Staggered Stance Swing,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/L2WY5gYUb1U
Alternating Single Arm Kettlebell Alternating Staggered Stance Swing,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/Ss7KjOjCpVU
Single Arm Kettlebell Half Kneeling Swing,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/QVvrdVbq9qs
Double Kettlebell Outside Swing,Novice,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/zrvtXpwVTOI
Double Kettlebell Outside Half Snatch,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/Fx-qV1dHGi4?feature=shared
Double Kettlebell Outside Clean,Intermediate,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/QtlvLhVFR40
Single Arm Kettlebell Side Swing,Intermediate,Abdominals,Kettlebell,Full Body,Ballistics,https://youtu.be/YBJnavxcbUA
Kettlebell Feet Elevated Russian Twist,Novice,Abdominals,Kettlebell,Midsection,Unsorted*,https://youtu.be/59_aq7COfts
Single Arm Kettlebell Half Kneeling Windmill,Intermediate,Abdominals,Kettlebell,Midsection,Grinds,https://youtu.be/wjYNzITBDqg
Double Kettlebell Front Rack Skater Squat,Expert,Quadriceps,Kettlebell,Lower Body,Balance,
Kettlebell Horn Grip Skater Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Balance,https://youtu.be/q1TuasYdM2M
Double Kettlebell Front Rack Pistol Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Balance,https://youtu.be/-A7yvmUv8Cw
Ring Straight Arm Pike Press Handstand,Master,Shoulders,Gymnastic Rings,Upper Body,Calisthenics,
Single Arm Kettlebell Hollow Body Hold with Flutter Kicks,Intermediate,Abdominals,Kettlebell,Midsection,Unsorted*,https://youtu.be/JGY8VuvaEHc?si=LVWYZO5Qt-3WONJf
Ring Back Lever Pullout,Master,Abdominals,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/FRBr2pomeOM?si=15TQvL3xIskTVzVA
Double Kettlebell Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Full Body,Ballistics,https://youtu.be/5Fx69TRWARc
Kettlebell Alternating Halo to Goblet Squat,Intermediate,Shoulders,Kettlebell,Full Body,Unsorted*,https://youtu.be/-0FIWmBbo9U
Ring German Hang Pullout,Master,Abdominals,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/J34xkKOc9GI
Ring Dead Hang to Front Lever Pull Up,Master,Back,Gymnastic Rings,Upper Body,Calisthenics,
Single Arm Kettlebell Side to Side Swing,Intermediate,Abdominals,Kettlebell,Full Body,Ballistics,
Single Arm Kettlebell Bottoms Up Turkish Get Up,Advanced,Abdominals,Kettlebell,Full Body,Grinds,https://youtu.be/jpgvV6wdXVw
Single Arm Kettlebell Thruster,Intermediate,Quadriceps,Kettlebell,Full Body,Bodybuilding,https://youtu.be/vBkzGpZSEF4
Alternating Double Kettlebell Thruster,Intermediate,Quadriceps,Kettlebell,Full Body,Bodybuilding,https://youtu.be/AeK6i-5gvJ0
Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Full Body,Ballistics,https://youtu.be/EF4ep3h5Olk
Single Arm Kettlebell Tactical Snatch,Advanced,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/lWVxdK_AT2s?si=lgWC5CSMGVpQHo9t
Single Arm Kettlebell Snatch to Overhead Contralateral Reverse Lunge,Advanced,Quadriceps,Kettlebell,Full Body,Ballistics,https://youtu.be/oReUJtUlMGU
Double Kettlebell Snatch to Overhead Alternating Reverse Lunge,Advanced,Quadriceps,Kettlebell,Full Body,Ballistics,https://youtu.be/VpURrAKPhcE?si=gSYbC8kpIa5xMxr8
Single Arm Kettlebell Clean to Front Rack Contralateral Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Full Body,Ballistics,https://youtu.be/oqjLx5Injps
Double Kettlebell Clean to Front Rack Alternating Reverse Lunge,Intermediate,Quadriceps,Kettlebell,Full Body,Ballistics,
Ring Full Front Lever Pull Up,Master,Back,Gymnastic Rings,Upper Body,Calisthenics,
Single Arm Kettlebell Split Jerk,Intermediate,Shoulders,Kettlebell,Full Body,Unsorted*,https://youtu.be/DeoexkyNuns?si=WrruI69jETw4SBe-
Parallette Stalder Press to Handstand,Master,Shoulders,Parallette Bars,Upper Body,Calisthenics,
Double Kettlebell Bottoms Up Clean to Front Rack Squat,Advanced,Glutes,Kettlebell,Full Body,Ballistics,
Single Arm Ring Chin Up,Master,Biceps,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/S22n8oqcDSY?si=GFs-J_IAwjttVe0y
Double Kettlebell Bottoms Up Overhead Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Unsorted*,https://youtu.be/kSlZIksA8XQ
Double Kettlebell Bottoms Up Thruster,Intermediate,Quadriceps,Kettlebell,Full Body,Bodybuilding,https://youtu.be/ZjNbjnGz1Cg
Ring Iron Cross,Master,Back,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/HZbee93OIdo
Parallette Full Planche Push Up,Master,Chest,Parallette Bars,Upper Body,Calisthenics,
Parallette Straddle Planche Push Up,Master,Chest,Parallette Bars,Upper Body,Calisthenics,
Bar Dead Hang to Front Lever Pull Up,Master,Back,Pull Up Bar,Upper Body,Calisthenics,
Bar Full Front Lever Pull Up,Master,Back,Pull Up Bar,Upper Body,Calisthenics,
Barbell Overhead Bulgarian Split Squat ,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/F_t7_XRdLbs?si=moBf8_s1adbBBwRY
Barbell Bulgarian Split Squat Thruster,Advanced,Shoulders,Barbell,Full Body,Bodybuilding,
Single Arm Barbell Overhead Bulgarian Split Squat ,Expert,Quadriceps,Barbell,Lower Body,Bodybuilding,
Bodyweight Full Planche Push Up,Master,Chest,Bodyweight,Upper Body,Calisthenics,
Bodyweight Straddle Planche Push Up,Master,Chest,Bodyweight,Upper Body,Calisthenics,https://youtu.be/qgNYrUdn1Oo?si=66l491gj5kmLLjA0
Ring Grip Full Planche Push Up,Legendary,Chest,Gymnastic Rings,Upper Body,Calisthenics,
Bodyweight Two Finger Full Planche Push Up,Legendary,Chest,Bodyweight,Upper Body,Calisthenics,https://youtu.be/CGeBvG5XP7U?si=nGM9dXX2v8dyqJA_
Ring Grip Straddle Planche Push Up,Legendary,Chest,Gymnastic Rings,Upper Body,Calisthenics,
Bodyweight Push Up to Alternating Kick Through,Intermediate,Chest,Bodyweight,Upper Body,Animal Flow,https://youtu.be/wcBXDGhqnBU
Bodyweight Standing Walkout Push Up ,Intermediate,Chest,Bodyweight,Upper Body,Unsorted*,https://youtu.be/zR7oQp1Ucq8
Ring Pull Up,Intermediate,Back,Gymnastic Rings,Upper Body,Calisthenics,https://youtu.be/cLqkGqiva1M
Single Arm Plate Windmill,Advanced,Abdominals,Weight Plate,Midsection,Grinds,https://youtu.be/P-dqLz-r5po
Single Arm Plate Turkish Get Up,Advanced,Abdominals,Weight Plate,Full Body,Grinds,https://youtu.be/4_RrnWT847k
Bodyweight Pike Push Up,Intermediate,Shoulders,Bodyweight,Upper Body,Calisthenics,https://youtu.be/QIZ6RXq72ZI
Parallette Feet Elevated Pike Push Up ,Intermediate,Shoulders,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/EqXFl_YxF8k
Barbell Sots Press,Intermediate,Shoulders,Barbell,Upper Body,Bodybuilding,https://youtu.be/eJ9MLnNV6FY
Double Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/jcC9NyGLGyg
Alternating Single Arm Kettlebell Bottoms Up Snatch,Advanced,Glutes,Kettlebell,Full Body,Ballistics,
Alternating Single Arm Kettlebell Around the World High Catch,Intermediate,Abdominals,Kettlebell,Unsorted*,Unsorted*,
Alternating Single Arm Kettlebell Tall Kneeling Around the World High Catch,Intermediate,Abdominals,Kettlebell,Unsorted*,Unsorted*,
Single Arm Kettlebell Around the World,Novice,Abdominals,Kettlebell,Unsorted*,Unsorted*,https://youtu.be/6AzrdFj3Qfc?si=52vAx7-XXfvkSz_l
Single Arm Dumbbell V Sit Overhead Press ,Intermediate,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/KphEeWT_EXs?si=1en5_zFQUTMs9jO1
Single Arm Dumbbell Z Press,Intermediate,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/Ib-8BOyAgTQ
Parallette Feet Elevated Push Up,Intermediate,Chest,Parallette Bars,Upper Body,Calisthenics,https://youtu.be/JtBPG6VeJ9Q
Stability Ball Feet Elevated Diamond Push Up,Intermediate,Triceps,Stability Ball,Upper Body,Unsorted*,https://youtu.be/-2fkjhJfcP8
Bodyweight Tricep Extension,Intermediate,Triceps,Bodyweight,Upper Body,Calisthenics,https://youtu.be/O8WGl4_aYTQ?si=eq7Ylf5fkEliBcxD
Alternating Single Arm Kettlebell Around the World,Novice,Abdominals,Kettlebell,Unsorted*,Unsorted*,https://youtu.be/ekR7MDSWwEQ
Single Arm Kettlebell Tall Kneeling Around the World,Novice,Abdominals,Kettlebell,Unsorted*,Unsorted*,https://youtu.be/9vZ0CU0dHcE
Alternating Single Arm Tall Kneeling Around the World,Novice,Abdominals,Kettlebell,Unsorted*,Unsorted*,
Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/fLXYRpxW4FI?si=AjNKRKLLVjzA8Uow
Single Arm Kettlebell Waiter Clean Hot Potato,Advanced,Glutes,Kettlebell,Full Body,Ballistics,
Alternating Single Arm Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/eH7w5psLPpk?si=XnO0PygbF5fzKCsm
Double Kettlebell Waiter Clean,Advanced,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/K8atAt0LaTU?si=9XbtgY4Ntm5G8h7v
Double Kettlebell Waiter Clean to Overhead Press,Advanced,Glutes,Kettlebell,Full Body,Ballistics,https://youtu.be/6yF_kl-76jw?si=rsxf0dRezcQc83ke
